item_id,site,lead_15,lead_14
100,F10,0,2
100,F11,2,3
100,F12,2,1
100,F13,4,1
100,F14,0,3
100,F15,1,1
100,F16,2,0
100,F17,2,4
100,F18,4,2
100,F19,2,4
100,F20,41,28
100,F3,5,3
100,F4,2,1
100,F5,1,1
100,F6,1,5
100,F7,0,3
100,F8,1,1
100,F9,1,3
110,F10,1,1
110,F11,1,1
110,F12,2,0
110,F13,1,1
110,F14,1,2
110,F15,3,3
110,F16,3,1
110,F17,2,3
110,F18,1,5
110,F19,2,2
110,F20,52,38
110,F3,2,3
110,F4,2,0
110,F5,2,0
110,F6,1,0
110,F7,1,0
110,F8,1,2
110,F9,4,0
120,F1,1,0
120,F10,1,0
120,F11,2,3
120,F12,2,1
120,F13,2,1
120,F14,3,1
120,F15,2,2
120,F16,4,3
120,F17,3,2
120,F18,5,1
120,F19,2,2
120,F20,50,42
120,F3,3,1
120,F4,0,2
120,F5,1,1
120,F6,1,2
120,F8,1,1
120,F9,3,1
130,F10,1,1
130,F11,1,2
130,F12,2,1
130,F13,3,2
130,F14,2,4
130,F15,1,2
130,F16,4,1
130,F17,2,2
130,F18,5,3
130,F19,3,4
130,F2,1,0
130,F20,43,36
130,F3,3,1
130,F4,3,4
130,F5,1,2
130,F6,3,2
130,F7,2,1
130,F8,2,2
130,F9,5,1
140,F10,3,2
140,F11,3,1
140,F12,1,3
140,F13,0,2
140,F14,0,3
140,F15,4,1
140,F16,1,1
140,F17,3,2
140,F18,2,3
140,F19,1,4
140,F2,1,0
140,F20,42,41
140,F3,3,1
140,F4,5,3
140,F5,1,1
140,F6,1,0
140,F7,2,4
140,F8,4,0
140,F9,2,1
150,F10,0,5
150,F11,1,2
150,F12,1,0
150,F13,3,2
150,F14,0,2
150,F15,2,3
150,F16,0,2
150,F17,4,2
150,F18,3,6
150,F19,3,3
150,F20,53,32
150,F3,2,2
150,F4,1,2
150,F5,1,1
150,F7,5,1
150,F8,1,0
150,F9,1,3
160,F10,3,0
160,F11,1,1
160,F12,0,2
160,F13,5,2
160,F14,6,3
160,F15,3,2
160,F16,4,3
160,F17,2,3
160,F18,1,4
160,F19,2,0
160,F2,2,0
160,F20,48,20
160,F3,1,5
160,F4,3,4
160,F5,3,5
160,F6,2,1
160,F7,3,3
160,F8,0,1
160,F9,1,0
170,F10,1,1
170,F11,0,3
170,F12,3,3
170,F13,2,4
170,F14,1,3
170,F15,3,3
170,F16,2,4
170,F17,2,5
170,F18,5,1
170,F19,3,0
170,F2,2,0
170,F20,54,40
170,F3,2,2
170,F4,1,2
170,F5,2,2
170,F6,2,0
170,F7,1,0
170,F8,0,2
180,F1,1,0
180,F10,2,3
180,F11,2,0
180,F12,1,2
180,F13,0,2
180,F14,1,1
180,F15,2,2
180,F16,1,3
180,F17,3,2
180,F18,6,2
180,F19,3,1
180,F2,0,1
180,F20,47,35
180,F3,1,3
180,F4,1,1
180,F5,2,2
180,F6,2,2
180,F7,1,1
180,F8,0,3
180,F9,3,2
190,F10,1,0
190,F11,2,1
190,F12,0,2
190,F13,6,4
190,F14,2,1
190,F15,1,1
190,F16,0,4
190,F17,2,2
190,F18,5,3
190,F19,5,3
190,F2,0,1
190,F20,53,35
190,F3,5,1
190,F4,1,0
190,F5,3,3
190,F6,1,1
190,F7,0,1
190,F8,1,0
190,F9,1,1
200,F1,0,1
200,F10,0,3
200,F11,3,0
200,F12,3,2
200,F13,4,3
200,F14,1,1
200,F15,3,2
200,F16,2,1
200,F17,3,3
200,F18,0,6
200,F19,3,4
200,F20,42,41
200,F3,1,5
200,F4,1,2
200,F5,2,3
200,F7,5,2
200,F8,2,1
200,F9,5,1
210,F1,1,0
210,F10,2,1
210,F11,3,0
210,F12,3,3
210,F13,1,1
210,F14,0,1
210,F15,2,2
210,F16,1,1
210,F17,0,4
210,F18,2,6
210,F19,3,3
210,F2,1,0
210,F20,49,31
210,F4,2,6
210,F5,3,1
210,F6,1,2
210,F7,1,3
210,F8,1,2
210,F9,3,1
220,F1,2,1
220,F10,2,4
220,F11,1,1
220,F12,3,2
220,F13,3,0
220,F14,3,4
220,F15,3,3
220,F16,1,3
220,F17,1,3
220,F18,2,6
220,F19,5,0
220,F20,59,38
220,F4,3,2
220,F5,1,3
220,F6,1,1
220,F8,1,0
220,F9,1,1
230,F1,0,2
230,F10,1,0
230,F11,1,1
230,F12,3,1
230,F13,4,2
230,F14,2,4
230,F15,2,1
230,F16,2,3
230,F17,4,5
230,F18,2,3
230,F19,2,1
230,F2,1,0
230,F20,53,39
230,F4,1,2
230,F5,0,2
230,F6,3,1
230,F7,0,1
230,F8,2,0
230,F9,3,2
240,F10,2,0
240,F11,1,3
240,F13,4,0
240,F14,1,6
240,F15,4,2
240,F16,2,2
240,F17,2,1
240,F18,5,3
240,F19,0,3
240,F20,56,36
240,F4,0,2
240,F5,3,2
240,F6,1,1
240,F7,3,0
240,F8,2,2
240,F9,1,1
250,F10,1,1
250,F11,1,0
250,F12,2,1
250,F13,4,3
250,F14,2,0
250,F15,2,4
250,F16,2,3
250,F17,3,4
250,F18,1,2
250,F19,2,5
250,F2,2,0
250,F20,57,26
250,F4,1,2
250,F5,2,1
250,F6,2,3
250,F7,2,3
250,F8,3,2
250,F9,2,3
260,F10,2,0
260,F11,2,0
260,F12,3,3
260,F13,1,2
260,F14,3,5
260,F15,5,4
260,F16,3,4
260,F17,3,1
260,F18,2,1
260,F19,2,2
260,F2,0,1
260,F20,38,40
260,F4,3,2
