item_id,site,lead_18,lead_17
100,F10,1,0
100,F11,3,2
100,F12,0,4
100,F13,2,1
100,F14,1,3
100,F15,2,2
100,F16,1,5
100,F17,5,4
100,F18,5,5
100,F19,2,4
100,F2,1,1
100,F20,43,33
100,F3,3,2
100,F4,0,1
100,F5,1,2
100,F6,1,1
100,F7,1,1
100,F8,4,0
100,F9,1,1
110,F1,0,1
110,F10,2,0
110,F11,4,2
110,F12,2,3
110,F13,5,0
110,F14,0,3
110,F15,1,5
110,F16,2,1
110,F17,3,2
110,F18,2,4
110,F19,2,2
110,F2,1,0
110,F20,65,31
110,F3,2,4
110,F4,1,1
110,F5,2,1
110,F6,3,0
110,F7,2,0
110,F8,0,1
110,F9,5,1
120,F11,2,4
120,F12,2,2
120,F13,1,1
120,F14,2,2
120,F15,3,0
120,F16,3,3
120,F17,0,5
120,F18,2,1
120,F19,2,0
120,F20,41,45
120,F3,3,2
120,F4,3,4
120,F5,2,2
120,F6,2,2
120,F7,0,2
120,F8,1,0
120,F9,0,1
130,F10,0,3
130,F11,3,1
130,F12,0,2
130,F13,0,3
130,F14,4,2
130,F15,3,1
130,F16,2,6
130,F17,2,4
130,F18,3,2
130,F19,2,2
130,F2,1,0
130,F20,35,44
130,F3,3,4
130,F4,0,2
130,F5,2,3
130,F6,0,2
130,F7,0,1
130,F8,2,2
130,F9,1,2
140,F1,0,2
140,F10,4,0
140,F11,1,2
140,F12,2,1
140,F13,5,4
140,F14,1,1
140,F15,1,4
140,F16,4,2
140,F17,3,2
140,F18,2,3
140,F19,1,5
140,F20,53,37
140,F3,4,2
140,F4,1,3
140,F5,0,1
140,F6,1,0
140,F8,0,1
140,F9,3,0
150,F11,3,2
150,F12,1,7
150,F13,2,2
150,F14,2,0
150,F15,1,3
150,F16,5,0
150,F17,1,1
150,F18,2,4
150,F19,5,1
150,F2,1,1
150,F20,54,42
150,F3,4,2
150,F4,2,1
150,F5,1,1
150,F6,3,0
150,F7,5,1
150,F8,0,2
150,F9,1,0
160,F10,1,0
160,F11,1,2
160,F12,2,1
160,F13,1,3
160,F14,2,1
160,F15,2,2
160,F16,6,3
160,F17,0,2
160,F18,2,0
160,F19,3,3
160,F2,0,1
160,F20,49,46
160,F3,1,2
160,F4,1,3
160,F5,2,1
160,F6,1,3
160,F7,1,0
160,F8,2,0
160,F9,1,2
170,F1,1,0
170,F10,3,2
170,F11,1,4
170,F12,1,3
170,F13,2,1
170,F14,2,2
170,F15,3,5
170,F16,3,2
170,F17,2,1
170,F18,4,3
170,F19,3,1
170,F2,1,1
170,F20,46,33
170,F3,3,2
170,F4,1,4
170,F5,2,0
170,F6,3,0
170,F7,3,1
170,F9,2,2
180,F10,3,3
180,F11,3,4
180,F12,4,3
180,F13,2,6
180,F14,2,2
180,F15,3,2
180,F16,4,5
180,F17,1,1
180,F18,5,3
180,F19,2,3
180,F2,1,0
180,F20,48,28
180,F3,2,2
180,F4,4,1
180,F5,1,1
180,F6,3,1
180,F7,1,1
180,F8,4,0
180,F9,0,1
190,F10,1,2
190,F11,3,1
190,F12,2,4
190,F13,3,5
190,F14,3,2
190,F15,2,0
190,F16,7,2
190,F17,4,3
190,F18,3,3
190,F19,3,3
190,F2,1,0
190,F20,49,38
190,F3,1,3
190,F4,2,2
190,F5,2,2
190,F6,1,1
190,F7,0,1
190,F8,1,1
190,F9,2,0
200,F1,1,0
200,F10,3,3
200,F11,1,6
200,F12,3,5
200,F13,2,1
200,F14,2,1
200,F15,3,2
